Request id,Pickup point,Driver id,Status,Request timestamp,Requested Weekday,Drop timestamp,Requested time(hr)
3881,Airport,3,Trip Completed,13-07-2016 21:54,Wednesday,13-07-2016 22:51,21
5254,City,3,Trip Completed,14-07-2016 21:23,Thursday,14-07-2016 22:25,21
5434,City,3,Trip Completed,15-07-2016 02:41,Friday,15-07-2016 03:24,2
5916,City,3,Trip Completed,15-07-2016 10:00,Friday,15-07-2016 10:53,10
669,City,4,Trip Completed,11-07-2016 13:08,Monday,11-07-2016 13:49,13
1567,Airport,4,Trip Completed,12-07-2016 06:21,Tuesday,12-07-2016 07:10,6
1826,City,4,Trip Completed,12-07-2016 09:27,Tuesday,12-07-2016 10:27,9
2102,City,4,Trip Completed,12-07-2016 16:09,Tuesday,12-07-2016 17:01,16
2847,Airport,4,Trip Completed,13-07-2016 05:34,Wednesday,13-07-2016 06:09,5
3722,Airport,4,Trip Completed,13-07-2016 19:57,Wednesday,13-07-2016 20:32,19
4075,City,4,Trip Completed,14-07-2016 02:17,Thursday,14-07-2016 03:21,2
4686,City,4,Trip Completed,14-07-2016 13:01,Thursday,14-07-2016 13:45,13
5771,Airport,4,Trip Completed,15-07-2016 08:30,Friday,15-07-2016 09:37,8
6106,Airport,4,Trip Completed,15-07-2016 15:01,Friday,15-07-2016 15:47,15
312,City,5,Trip Completed,11-07-2016 07:27,Monday,11-07-2016 08:31,7
577,Airport,5,Trip Completed,11-07-2016 11:03,Monday,11-07-2016 12:01,11
1179,City,5,Trip Completed,11-07-2016 20:58,Monday,11-07-2016 21:45,20
1756,Airport,5,Trip Completed,12-07-2016 08:40,Tuesday,12-07-2016 09:23,8
2052,City,5,Trip Completed,12-07-2016 14:48,Tuesday,12-07-2016 15:50,14
2559,City,5,Trip Completed,12-07-2016 21:32,Tuesday,12-07-2016 22:29,21
3014,City,5,Trip Completed,13-07-2016 07:28,Wednesday,13-07-2016 08:29,7
3317,City,5,Trip Completed,13-07-2016 12:14,Wednesday,13-07-2016 12:46,12
4297,City,5,Trip Completed,14-07-2016 06:43,Thursday,14-07-2016 07:49,6
5857,Airport,5,Trip Completed,15-07-2016 09:08,Friday,15-07-2016 10:07,9
6690,Airport,5,Trip Completed,15-07-2016 22:41,Friday,15-07-2016 23:51,22
1517,Airport,6,Trip Completed,12-07-2016 05:45,Tuesday,12-07-2016 06:28,5
1999,Airport,6,Trip Completed,12-07-2016 13:02,Tuesday,12-07-2016 13:51,13
2960,Airport,6,Trip Completed,13-07-2016 06:50,Wednesday,13-07-2016 07:40,6
3882,City,6,Trip Completed,13-07-2016 21:53,Wednesday,13-07-2016 22:45,21
4081,Airport,6,Trip Completed,14-07-2016 02:37,Thursday,14-07-2016 03:30,2
4740,City,6,Trip Completed,14-07-2016 14:50,Thursday,14-07-2016 15:38,14
5270,City,6,Trip Completed,14-07-2016 21:33,Thursday,14-07-2016 22:25,21
6758,Airport,6,Trip Completed,15-07-2016 00:03,Friday,15-07-2016 01:07,0
5741,City,6,Trip Completed,15-07-2016 07:52,Friday,15-07-2016 08:38,7
6087,Airport,6,Trip Completed,15-07-2016 14:28,Friday,15-07-2016 15:33,14
1039,City,7,Trip Completed,11-07-2016 19:31,Monday,11-07-2016 20:41,19
1273,Airport,7,Trip Completed,11-07-2016 22:07,Monday,11-07-2016 23:12,22
2480,City,7,Trip Completed,12-07-2016 20:39,Tuesday,12-07-2016 21:28,20
4105,City,7,Trip Completed,14-07-2016 03:39,Thursday,14-07-2016 04:39,3
4509,City,7,Trip Completed,14-07-2016 09:11,Thursday,14-07-2016 10:17,9
4986,Airport,7,Trip Completed,14-07-2016 18:52,Thursday,14-07-2016 19:50,18
5898,City,7,Trip Completed,15-07-2016 09:50,Friday,15-07-2016 10:40,9
6142,Airport,7,Trip Completed,15-07-2016 15:50,Friday,15-07-2016 16:36,15
380,Airport,8,Trip Completed,11-07-2016 08:18,Monday,11-07-2016 09:18,8
1050,Airport,8,Trip Completed,11-07-2016 19:39,Monday,11-07-2016 20:30,19
1769,City,8,Trip Completed,12-07-2016 08:57,Tuesday,12-07-2016 09:24,8
2520,City,8,Trip Completed,12-07-2016 21:05,Tuesday,12-07-2016 22:20,21
3265,Airport,8,Trip Completed,13-07-2016 10:22,Wednesday,13-07-2016 11:07,10
4648,City,8,Trip Completed,14-07-2016 11:55,Thursday,14-07-2016 12:59,11
449,Airport,9,Trip Completed,11-07-2016 09:08,Monday,11-07-2016 09:52,9
846,Airport,9,Trip Completed,11-07-2016 17:46,Monday,11-07-2016 18:52,17
1346,Airport,9,Trip Completed,11-07-2016 23:39,Monday,12-07-2016 00:23,23
1474,Airport,9,Trip Completed,12-07-2016 05:13,Tuesday,12-07-2016 05:56,5
2240,City,9,Trip Completed,12-07-2016 18:20,Tuesday,12-07-2016 18:54,18
3072,Airport,9,Trip Completed,13-07-2016 08:04,Wednesday,13-07-2016 08:36,8
3459,Airport,9,Trip Completed,13-07-2016 17:03,Wednesday,13-07-2016 17:31,17
3774,Airport,9,Trip Completed,13-07-2016 20:41,Wednesday,13-07-2016 21:27,20
4023,City,9,Trip Completed,13-07-2016 23:58,Wednesday,14-07-2016 00:58,23
4117,City,9,Trip Completed,14-07-2016 04:21,Thursday,14-07-2016 05:07,4
4880,Airport,9,Trip Completed,14-07-2016 17:58,Thursday,14-07-2016 19:02,17
5568,Airport,9,Trip Completed,15-07-2016 05:47,Friday,15-07-2016 06:25,5
5994,Airport,9,Trip Completed,15-07-2016 11:51,Friday,15-07-2016 12:32,11
1809,Airport,10,Trip Completed,12-07-2016 09:13,Tuesday,12-07-2016 10:01,9
2064,Airport,10,Trip Completed,12-07-2016 15:08,Tuesday,12-07-2016 16:14,15
3210,City,10,Trip Completed,13-07-2016 09:47,Wednesday,13-07-2016 10:52,9
4350,City,10,Trip Completed,14-07-2016 07:24,Thursday,14-07-2016 08:22,7
4713,City,10,Trip Completed,14-07-2016 13:31,Thursday,14-07-2016 14:10,13
5629,Airport,10,Trip Completed,15-07-2016 06:33,Friday,15-07-2016 07:19,6
6157,Airport,10,Trip Completed,15-07-2016 16:32,Friday,15-07-2016 17:44,16
2030,City,11,Trip Completed,12-07-2016 14:11,Tuesday,12-07-2016 15:02,14
3226,City,11,Trip Completed,13-07-2016 10:00,Wednesday,13-07-2016 11:02,10
3353,City,11,Trip Completed,13-07-2016 13:29,Wednesday,13-07-2016 14:09,13
4293,City,11,Trip Completed,14-07-2016 06:42,Thursday,14-07-2016 07:12,6
4936,City,11,Trip Completed,14-07-2016 18:22,Thursday,14-07-2016 19:14,18
5661,Airport,11,Trip Completed,15-07-2016 07:08,Friday,15-07-2016 07:59,7
5778,City,11,Trip Completed,15-07-2016 08:22,Friday,15-07-2016 09:13,8
6425,Airport,11,Trip Completed,15-07-2016 19:46,Friday,15-07-2016 20:26,19
45,Airport,12,Trip Completed,11-07-2016 03:17,Monday,11-07-2016 04:09,3
264,City,12,Trip Completed,11-07-2016 06:51,Monday,11-07-2016 07:40,6
1183,City,12,Trip Completed,11-07-2016 21:05,Monday,11-07-2016 21:38,21
1536,Airport,12,Trip Completed,12-07-2016 05:59,Tuesday,12-07-2016 06:59,5
2437,City,12,Trip Completed,12-07-2016 20:18,Tuesday,12-07-2016 21:26,20
2641,Airport,12,Trip Completed,12-07-2016 22:28,Tuesday,12-07-2016 23:05,22
4077,Airport,12,Trip Completed,14-07-2016 02:14,Thursday,14-07-2016 03:13,2
4610,City,12,Trip Completed,14-07-2016 10:35,Thursday,14-07-2016 11:39,10
5066,Airport,12,Trip Completed,14-07-2016 19:31,Thursday,14-07-2016 20:14,19
5666,Airport,12,Trip Completed,15-07-2016 07:04,Friday,15-07-2016 08:12,7
5923,City,12,Trip Completed,15-07-2016 10:07,Friday,15-07-2016 10:50,10
6367,City,12,Trip Completed,15-07-2016 19:04,Friday,15-07-2016 19:46,19
155,City,13,Trip Completed,11-07-2016 05:32,Monday,11-07-2016 06:28,5
310,Airport,13,Trip Completed,11-07-2016 07:24,Monday,11-07-2016 08:28,7
607,City,13,Trip Completed,11-07-2016 11:51,Monday,11-07-2016 12:42,11
1012,City,13,Trip Completed,11-07-2016 19:15,Monday,11-07-2016 19:57,19
1696,Airport,13,Trip Completed,12-07-2016 08:01,Tuesday,12-07-2016 08:42,8
3076,City,13,Trip Completed,13-07-2016 08:09,Wednesday,13-07-2016 09:12,8
4198,Airport,13,Trip Completed,14-07-2016 05:32,Thursday,14-07-2016 06:45,5
4627,City,13,Trip Completed,14-07-2016 11:13,Thursday,14-07-2016 12:00,11
5289,City,13,Trip Completed,14-07-2016 21:43,Thursday,14-07-2016 22:24,21
5495,Airport,13,Trip Completed,15-07-2016 05:00,Friday,15-07-2016 06:02,5
6656,Airport,13,Trip Completed,15-07-2016 22:08,Friday,15-07-2016 22:41,22
139,Airport,14,Trip Completed,11-07-2016 05:21,Monday,11-07-2016 06:09,5
215,City,14,Trip Completed,11-07-2016 06:15,Monday,11-07-2016 07:07,6
1816,City,14,Trip Completed,12-07-2016 09:24,Tuesday,12-07-2016 10:07,9
2505,Airport,14,Trip Completed,12-07-2016 21:03,Tuesday,12-07-2016 22:14,21
3346,City,14,Trip Completed,13-07-2016 13:01,Wednesday,13-07-2016 13:55,13
5294,City,14,Trip Completed,14-07-2016 21:45,Thursday,14-07-2016 22:16,21
6226,Airport,14,Trip Completed,15-07-2016 17:34,Friday,15-07-2016 18:33,17
6733,Airport,14,Trip Completed,15-07-2016 23:32,Friday,16-07-2016 00:37,23
1027,Airport,15,Trip Completed,11-07-2016 19:18,Monday,11-07-2016 20:24,19
2675,Airport,15,Trip Completed,12-07-2016 23:43,Tuesday,13-07-2016 00:35,23
3200,City,15,Trip Completed,13-07-2016 09:39,Wednesday,13-07-2016 10:30,9
3865,City,15,Trip Completed,13-07-2016 21:52,Wednesday,13-07-2016 22:21,21
4468,City,15,Trip Completed,14-07-2016 08:42,Thursday,14-07-2016 09:22,8
5163,Airport,15,Trip Completed,14-07-2016 20:34,Thursday,14-07-2016 21:05,20
6009,City,15,Trip Completed,15-07-2016 12:22,Friday,15-07-2016 13:25,12
6448,Airport,15,Trip Completed,15-07-2016 20:02,Friday,15-07-2016 20:40,20
591,City,16,Trip Completed,11-07-2016 11:25,Monday,11-07-2016 12:31,11
709,City,16,Trip Completed,11-07-2016 14:16,Monday,11-07-2016 15:03,14
1167,Airport,16,Trip Completed,11-07-2016 20:50,Monday,11-07-2016 21:52,20
2661,Airport,16,Trip Completed,12-07-2016 23:23,Tuesday,13-07-2016 00:27,23
2808,City,16,Trip Completed,13-07-2016 05:05,Wednesday,13-07-2016 05:56,5
3258,Airport,16,Trip Completed,13-07-2016 10:12,Wednesday,13-07-2016 10:45,10
3413,Airport,16,Trip Completed,13-07-2016 15:32,Wednesday,13-07-2016 16:45,15
3939,Airport,16,Trip Completed,13-07-2016 22:26,Wednesday,13-07-2016 22:55,22
4125,City,16,Trip Completed,14-07-2016 04:37,Thursday,14-07-2016 05:46,4
4457,City,16,Trip Completed,14-07-2016 08:36,Thursday,14-07-2016 09:19,8
4728,City,16,Trip Completed,14-07-2016 14:04,Thursday,14-07-2016 15:06,14
5347,Airport,16,Trip Completed,14-07-2016 22:51,Thursday,14-07-2016 23:53,22
6147,City,16,Trip Completed,15-07-2016 16:11,Friday,15-07-2016 17:30,16
6496,Airport,16,Trip Completed,15-07-2016 20:33,Friday,15-07-2016 21:32,20
634,City,17,Trip Completed,11-07-2016 12:25,Monday,11-07-2016 13:06,12
939,Airport,17,Trip Completed,11-07-2016 18:25,Monday,11-07-2016 19:26,18
2628,Airport,17,Trip Completed,12-07-2016 22:10,Tuesday,12-07-2016 23:25,22
3021,City,17,Trip Completed,13-07-2016 07:33,Wednesday,13-07-2016 08:26,7
4743,City,17,Trip Completed,14-07-2016 14:54,Thursday,14-07-2016 15:39,14
4981,City,17,Trip Completed,14-07-2016 18:47,Thursday,14-07-2016 19:43,18
5367,Airport,17,Trip Completed,14-07-2016 23:35,Thursday,15-07-2016 00:25,23
5471,Airport,17,Trip Completed,15-07-2016 04:48,Friday,15-07-2016 05:47,4
5988,Airport,17,Trip Completed,15-07-2016 11:48,Friday,15-07-2016 12:55,11
6477,Airport,17,Trip Completed,15-07-2016 20:21,Friday,15-07-2016 21:00,20
499,City,18,Trip Completed,11-07-2016 09:39,Monday,11-07-2016 10:16,9
1147,Airport,18,Trip Completed,11-07-2016 20:42,Monday,11-07-2016 21:18,20
1410,Airport,18,Trip Completed,12-07-2016 03:14,Tuesday,12-07-2016 04:27,3
1804,Airport,18,Trip Completed,12-07-2016 09:12,Tuesday,12-07-2016 09:57,9
1949,Airport,18,Trip Completed,12-07-2016 11:32,Tuesday,12-07-2016 12:13,11
2713,City,18,Trip Completed,13-07-2016 01:46,Wednesday,13-07-2016 02:37,1
2845,City,18,Trip Completed,13-07-2016 05:28,Wednesday,13-07-2016 06:10,5
3943,Airport,18,Trip Completed,13-07-2016 22:35,Wednesday,13-07-2016 23:33,22
4792,City,18,Trip Completed,14-07-2016 16:47,Thursday,14-07-2016 17:34,16
5207,Airport,18,Trip Completed,14-07-2016 20:57,Thursday,14-07-2016 21:56,20
5890,City,18,Trip Completed,15-07-2016 09:43,Friday,15-07-2016 10:55,9
494,City,19,Trip Completed,11-07-2016 09:36,Monday,11-07-2016 10:02,9
1485,City,19,Trip Completed,12-07-2016 05:21,Tuesday,12-07-2016 06:35,5
2042,City,19,Trip Completed,12-07-2016 14:30,Tuesday,12-07-2016 15:09,14
2561,Airport,19,Trip Completed,12-07-2016 21:29,Tuesday,12-07-2016 22:44,21
3813,Airport,19,Trip Completed,13-07-2016 21:06,Wednesday,13-07-2016 21:46,21
4260,Airport,19,Trip Completed,14-07-2016 06:11,Thursday,14-07-2016 06:59,6
4395,City,19,Trip Completed,14-07-2016 08:00,Thursday,14-07-2016 08:54,8
5919,City,19,Trip Completed,15-07-2016 10:03,Friday,15-07-2016 10:59,10
6002,Airport,19,Trip Completed,15-07-2016 12:04,Friday,15-07-2016 12:53,12
468,City,20,Trip Completed,11-07-2016 09:20,Monday,11-07-2016 10:05,9
693,Airport,20,Trip Completed,11-07-2016 13:51,Monday,11-07-2016 15:01,13
1178,City,20,Trip Completed,11-07-2016 21:05,Monday,11-07-2016 22:06,21
2103,City,20,Trip Completed,12-07-2016 16:08,Tuesday,12-07-2016 17:18,16
2292,Airport,20,Trip Completed,12-07-2016 18:46,Tuesday,12-07-2016 19:23,18
3339,City,20,Trip Completed,13-07-2016 12:40,Wednesday,13-07-2016 13:30,12
3694,City,20,Trip Completed,13-07-2016 19:33,Wednesday,13-07-2016 20:35,19
4469,City,20,Trip Completed,14-07-2016 08:45,Thursday,14-07-2016 09:48,8
6432,City,20,Trip Completed,15-07-2016 19:50,Friday,15-07-2016 20:30,19
1895,City,21,Trip Completed,12-07-2016 10:20,Tuesday,12-07-2016 10:52,10
1981,Airport,21,Trip Completed,12-07-2016 12:23,Tuesday,12-07-2016 12:56,12
3744,Airport,21,Trip Completed,13-07-2016 20:28,Wednesday,13-07-2016 21:22,20
4433,Airport,21,Trip Completed,14-07-2016 08:26,Thursday,14-07-2016 09:12,8
6039,Airport,21,Trip Completed,15-07-2016 13:11,Friday,15-07-2016 13:38,13
6543,City,21,Trip Completed,15-07-2016 20:54,Friday,15-07-2016 22:12,20
110,City,22,Trip Completed,11-07-2016 05:05,Monday,11-07-2016 06:06,5
362,City,22,Trip Completed,11-07-2016 08:01,Monday,11-07-2016 09:18,8
666,Airport,22,Trip Completed,11-07-2016 13:02,Monday,11-07-2016 13:45,13
926,City,22,Trip Completed,11-07-2016 18:28,Monday,11-07-2016 19:34,18
1180,Airport,22,Trip Completed,11-07-2016 21:01,Monday,11-07-2016 22:14,21
1900,City,22,Trip Completed,12-07-2016 10:32,Tuesday,12-07-2016 11:42,10
2506,City,22,Trip Completed,12-07-2016 21:01,Tuesday,12-07-2016 21:38,21
3064,City,22,Trip Completed,13-07-2016 08:02,Wednesday,13-07-2016 08:58,8
3327,Airport,22,Trip Completed,13-07-2016 12:24,Wednesday,13-07-2016 13:23,12
3601,City,22,Trip Completed,13-07-2016 18:39,Wednesday,13-07-2016 19:29,18
4768,Airport,22,Trip Completed,14-07-2016 15:39,Thursday,14-07-2016 16:49,15
5142,City,22,Trip Completed,14-07-2016 20:17,Thursday,14-07-2016 20:48,20
5366,Airport,22,Trip Completed,14-07-2016 23:27,Thursday,15-07-2016 00:19,23
5575,City,22,Trip Completed,15-07-2016 05:53,Friday,15-07-2016 06:50,5
5902,City,22,Trip Completed,15-07-2016 09:52,Friday,15-07-2016 10:37,9
6694,Airport,22,Trip Completed,15-07-2016 22:45,Friday,15-07-2016 23:17,22
523,Airport,23,Trip Completed,11-07-2016 09:48,Monday,11-07-2016 10:37,9
747,City,23,Trip Completed,11-07-2016 15:53,Monday,11-07-2016 16:43,15
1371,Airport,23,Trip Completed,12-07-2016 00:22,Tuesday,12-07-2016 01:33,0
1553,City,23,Trip Completed,12-07-2016 06:09,Tuesday,12-07-2016 07:09,6
1692,Airport,23,Trip Completed,12-07-2016 07:52,Tuesday,12-07-2016 09:01,7
2114,City,23,Trip Completed,12-07-2016 16:36,Tuesday,12-07-2016 17:21,16
2742,City,23,Trip Completed,13-07-2016 03:07,Wednesday,13-07-2016 03:51,3
4273,City,23,Trip Completed,14-07-2016 06:17,Thursday,14-07-2016 07:02,6
4668,City,23,Trip Completed,14-07-2016 12:25,Thursday,14-07-2016 13:34,12
5425,City,23,Trip Completed,15-07-2016 02:23,Friday,15-07-2016 03:08,2
5488,City,23,Trip Completed,15-07-2016 04:53,Friday,15-07-2016 06:00,4
5781,City,23,Trip Completed,15-07-2016 08:35,Friday,15-07-2016 09:42,8
5966,Airport,23,Trip Completed,15-07-2016 10:54,Friday,15-07-2016 11:58,10
6122,City,23,Trip Completed,15-07-2016 15:26,Friday,15-07-2016 16:29,15
357,Airport,24,Trip Completed,11-07-2016 08:00,Monday,11-07-2016 09:08,8
1068,City,24,Trip Completed,11-07-2016 19:52,Monday,11-07-2016 20:48,19
2689,Airport,24,Trip Completed,13-07-2016 00:34,Wednesday,13-07-2016 01:49,0
2791,City,24,Trip Completed,13-07-2016 04:56,Wednesday,13-07-2016 05:33,4
3321,City,24,Trip Completed,13-07-2016 12:23,Wednesday,13-07-2016 13:25,12
3423,Airport,24,Trip Completed,13-07-2016 15:52,Wednesday,13-07-2016 16:50,15
3761,Airport,24,Trip Completed,13-07-2016 20:35,Wednesday,13-07-2016 21:39,20
4140,City,24,Trip Completed,14-07-2016 04:48,Thursday,14-07-2016 06:05,4
4656,City,24,Trip Completed,14-07-2016 12:06,Thursday,14-07-2016 12:49,12
4931,Airport,24,Trip Completed,14-07-2016 18:21,Thursday,14-07-2016 18:54,18
5268,City,24,Trip Completed,14-07-2016 21:29,Thursday,14-07-2016 22:30,21
5811,City,24,Trip Completed,15-07-2016 08:46,Friday,15-07-2016 09:26,8
6139,Airport,24,Trip Completed,15-07-2016 15:45,Friday,15-07-2016 16:40,15
6333,Airport,24,Trip Completed,15-07-2016 18:41,Friday,15-07-2016 19:53,18
773,City,25,Trip Completed,11-07-2016 16:23,Monday,11-07-2016 17:21,16
1123,City,25,Trip Completed,11-07-2016 20:20,Monday,11-07-2016 21:18,20
2667,Airport,25,Trip Completed,12-07-2016 23:35,Tuesday,13-07-2016 00:40,23
2833,City,25,Trip Completed,13-07-2016 05:27,Wednesday,13-07-2016 06:19,5
3396,City,25,Trip Completed,13-07-2016 14:59,Wednesday,13-07-2016 15:57,14
3590,City,25,Trip Completed,13-07-2016 18:31,Wednesday,13-07-2016 19:31,18
3762,City,25,Trip Completed,13-07-2016 20:38,Wednesday,13-07-2016 21:21,20
4566,City,25,Trip Completed,14-07-2016 09:48,Thursday,14-07-2016 10:22,9
4862,City,25,Trip Completed,14-07-2016 17:37,Thursday,14-07-2016 18:41,17
5564,Airport,25,Trip Completed,15-07-2016 05:41,Friday,15-07-2016 06:53,5
6187,City,25,Trip Completed,15-07-2016 17:11,Friday,15-07-2016 18:08,17
6642,City,25,Trip Completed,15-07-2016 22:07,Friday,15-07-2016 22:54,22
322,City,26,Trip Completed,11-07-2016 07:31,Monday,11-07-2016 08:10,7
793,City,26,Trip Completed,11-07-2016 17:04,Monday,11-07-2016 18:06,17
898,Airport,26,Trip Completed,11-07-2016 18:14,Monday,11-07-2016 19:09,18
1258,City,26,Trip Completed,11-07-2016 21:51,Monday,11-07-2016 23:00,21
2832,City,26,Trip Completed,13-07-2016 05:20,Wednesday,13-07-2016 06:14,5
3139,City,26,Trip Completed,13-07-2016 08:54,Wednesday,13-07-2016 09:22,8
3438,City,26,Trip Completed,13-07-2016 16:12,Wednesday,13-07-2016 17:13,16
3966,Airport,26,Trip Completed,13-07-2016 22:50,Wednesday,13-07-2016 23:27,22
6401,Airport,26,Trip Completed,15-07-2016 19:33,Friday,15-07-2016 20:16,19
204,City,27,Trip Completed,11-07-2016 06:04,Monday,11-07-2016 06:44,6
632,Airport,27,Trip Completed,11-07-2016 12:20,Monday,11-07-2016 13:10,12
763,City,27,Trip Completed,11-07-2016 16:19,Monday,11-07-2016 17:25,16
1786,Airport,27,Trip Completed,12-07-2016 09:03,Tuesday,12-07-2016 09:58,9
1968,City,27,Trip Completed,12-07-2016 12:10,Tuesday,12-07-2016 12:49,12
2088,Airport,27,Trip Completed,12-07-2016 15:51,Tuesday,12-07-2016 17:02,15
2473,Airport,27,Trip Completed,12-07-2016 20:43,Tuesday,12-07-2016 21:20,20
2869,Airport,27,Trip Completed,13-07-2016 05:50,Wednesday,13-07-2016 06:27,5
3742,Airport,27,Trip Completed,13-07-2016 20:24,Wednesday,13-07-2016 20:48,20
4440,Airport,27,Trip Completed,14-07-2016 08:26,Thursday,14-07-2016 09:00,8
5234,City,27,Trip Completed,14-07-2016 21:09,Thursday,14-07-2016 21:52,21
6354,Airport,27,Trip Completed,15-07-2016 18:59,Friday,15-07-2016 19:35,18
6638,City,27,Trip Completed,15-07-2016 21:59,Friday,15-07-2016 23:13,21
84,City,28,Trip Completed,11-07-2016 04:50,Monday,11-07-2016 05:26,4
1199,City,28,Trip Completed,11-07-2016 21:17,Monday,11-07-2016 21:53,21
1676,Airport,28,Trip Completed,12-07-2016 07:44,Tuesday,12-07-2016 08:40,7
2774,City,28,Trip Completed,13-07-2016 04:33,Wednesday,13-07-2016 05:13,4
3220,Airport,28,Trip Completed,13-07-2016 09:51,Wednesday,13-07-2016 10:24,9
3718,Airport,28,Trip Completed,13-07-2016 19:56,Wednesday,13-07-2016 20:47,19
4904,Airport,28,Trip Completed,14-07-2016 18:02,Thursday,14-07-2016 18:58,18
6527,Airport,28,Trip Completed,15-07-2016 20:54,Friday,15-07-2016 21:53,20
6710,City,28,Trip Completed,15-07-2016 23:02,Friday,16-07-2016 00:12,23
1584,Airport,29,Trip Completed,12-07-2016 06:26,Tuesday,12-07-2016 07:18,6
1966,Airport,29,Trip Completed,12-07-2016 12:05,Tuesday,12-07-2016 13:12,12
2827,City,29,Trip Completed,13-07-2016 05:18,Wednesday,13-07-2016 06:18,5
2945,Airport,29,Trip Completed,13-07-2016 06:34,Wednesday,13-07-2016 07:28,6
3365,City,29,Trip Completed,13-07-2016 13:47,Wednesday,13-07-2016 14:51,13
3548,Airport,29,Trip Completed,13-07-2016 18:07,Wednesday,13-07-2016 19:12,18
3753,City,29,Trip Completed,13-07-2016 20:30,Wednesday,13-07-2016 21:42,20
4569,Airport,29,Trip Completed,14-07-2016 09:48,Thursday,14-07-2016 10:49,9
6309,Airport,29,Trip Completed,15-07-2016 18:29,Friday,15-07-2016 19:42,18
6437,City,29,Trip Completed,15-07-2016 19:53,Friday,15-07-2016 20:26,19
517,Airport,30,Trip Completed,11-07-2016 09:45,Monday,11-07-2016 10:24,9
1406,Airport,30,Trip Completed,12-07-2016 03:02,Tuesday,12-07-2016 03:55,3
1643,Airport,30,Trip Completed,12-07-2016 07:18,Tuesday,12-07-2016 08:10,7
2108,Airport,30,Trip Completed,12-07-2016 16:14,Tuesday,12-07-2016 16:48,16
2647,City,30,Trip Completed,12-07-2016 22:46,Tuesday,12-07-2016 23:18,22
3129,City,30,Trip Completed,13-07-2016 08:41,Wednesday,13-07-2016 09:41,8
3738,Airport,30,Trip Completed,13-07-2016 20:15,Wednesday,13-07-2016 20:55,20
4422,Airport,30,Trip Completed,14-07-2016 08:13,Thursday,14-07-2016 09:13,8
4790,City,30,Trip Completed,14-07-2016 16:43,Thursday,14-07-2016 17:56,16
5496,City,30,Trip Completed,15-07-2016 04:59,Friday,15-07-2016 05:34,4
6484,Airport,30,Trip Completed,15-07-2016 20:19,Friday,15-07-2016 21:01,20
6731,Airport,30,Trip Completed,15-07-2016 23:23,Friday,16-07-2016 00:11,23
629,Airport,31,Trip Completed,11-07-2016 12:14,Monday,11-07-2016 13:00,12
745,Airport,31,Trip Completed,11-07-2016 15:48,Monday,11-07-2016 16:45,15
1064,City,31,Trip Completed,11-07-2016 19:53,Monday,11-07-2016 20:31,19
1886,Airport,31,Trip Completed,12-07-2016 10:10,Tuesday,12-07-2016 10:35,10
5608,Airport,31,Trip Completed,15-07-2016 06:18,Friday,15-07-2016 07:07,6
5877,City,31,Trip Completed,15-07-2016 09:37,Friday,15-07-2016 10:08,9
6100,Airport,31,Trip Completed,15-07-2016 14:44,Friday,15-07-2016 15:41,14
6659,Airport,31,Trip Completed,15-07-2016 22:15,Friday,15-07-2016 23:07,22
